cites,authors,title,year,source,publisher,articleurl,citesurl,gsrank,querydate,type,doi,issn,citationurl,volume,issue,startpage,endpage,ecc,citesperyear,citesperauthor,authorcount,age,abstract,fulltexturl,relatedurl,title_clean,doi_clean
422,"Liqun Li, Pan Hu, Chunyi Peng, G. Shen, Feng Zhao",Epsilon: A Visible Light Based Positioning System,2014.0,,,,,968,8/22/24 15:04,,,,,,,,,422,42.2,84,5,10.0,"Exploiting the increasingly wide use of Light-emitting Diode (LED) lighting, in this paper, we study the problem of using visible LED lights for accurate localization. The basic idea is to leverage the existing lighting infrastructure and apply trilateration to localize any devices with light sensing capability (e.g., a smartphone), using LED lamps as anchors. Through the design of Epsilon, we identify and tackle several technique challenges. In particular, we establish and experimentally verify the optical channel model for localization. We adopt BFSK and channel hopping to enable reliable location beaconing from multiple, uncoordinated light sources over the shared optical medium. We handle realistic situations towards robust localization, for example, we exploit user involvement to resolve the ambiguity in case of insufficient LED anchors. We have implemented the Epsilon system and evaluated it with a small scale hardware testbed as well as moderate-size simulations. Experimental results confirmed the effectiveness of Epsilon: the 90th percentile accuracies are 0.4m, 0.7m and 0.8m for three typical office environments. Even in the extreme situation with a single light, the 90th percentile accuracy is 1.1m. We believe that visible light based localization is promising to significantly improve the positioning accuracy, despite few open problems in practice.",,,epsilon: a visible light based positioning system,
331,"Nicolas Vasilache, Jeff Johnson, Michaël Mathieu, Soumith Chintala, Serkan Piantino, Yann LeCun",Fast Convolutional Nets With fbfft: A GPU Performance Evaluation,2014.0,,,,,560,8/22/24 15:04,,,,,,,,,331,33.1,55,6,10.0,"We examine the performance profile of Convolutional Neural Network training on the current generation of NVIDIA Graphics Processing Units. We introduce two new Fast Fourier Transform convolution implementations: one based on NVIDIA's cuFFT library, and another based on a Facebook authored FFT implementation, fbfft, that provides significant speedups over cuFFT (over 1.5x) for whole CNNs. Both of these convolution implementations are available in open source, and are faster than NVIDIA's cuDNN implementation for many common convolutional layers (up to 23.5x for some synthetic kernel configurations). We discuss different performance regimes of convolutions, comparing areas where straightforward time domain convolutions outperform Fourier frequency domain convolutions. Details on algorithmic applications of NVIDIA GPU hardware specifics in the implementation of fbfft are also provided.",,,fast convolutional nets with fbfft: a gpu performance evaluation,
130,"S. Kaur, Japinder Singh, Navtej S. Ghumman",Network Programmability Using POX Controller,2014.0,,,,,639,8/22/24 15:04,,,,,,,,,130,13.0,43,3,10.0,"POX is a Python based open source OpenFlow/Software Defined Networking (SDN) Controller. POX is used for faster development and prototyping of new network applications. POX controller comes pre installed with the mininet virtual machine. Using POX controller you can turn dumb openflow devices into hub, switch, load balancer, firewall devices. The POX controller allows easy way to run OpenFlow/SDN experiments. POX can be passed different parameters according to real or experimental topologies, thus allowing you to run experiments on real hardware, testbeds or in mininet emulator. In this paper, first section will contain introduction about POX, OpenFlow and SDN, then discussion about relationship between POX and Mininet. Final Sections will be regarding creating and verifying behavior of network applications in POX.",,,network programmability using pox controller,
127,"G Bitella, R Rossi, R Bochicchio, M Perniola, M Amato",A novel low-cost open-hardware platform for monitoring soil water content and multiple soil-air-vegetation parameters,2014.0,Sensors,mdpi.com,https://www.mdpi.com/1424-8220/14/10/19639,https://scholar.google.com/scholar?cites=12597271216227092947&as_sdt=2005&sciodt=2007&hl=en,120,8/22/24 10:20,HTML,,,,,,,,127,12.7,25,5,10.0,"… The objective of this work was to design a low cost “open hardware” platform for multi-… Empirical calibration curves were subjected to cross-validation (leave-one-out method), and …",https://www.mdpi.com/1424-8220/14/10/19639,https://scholar.google.com/scholar?q=related:0wl4jm1_0q4J:scholar.google.com/&scioq=%22open+source+hardware%22%7C%22open+source+hardware%22%7C%22open+hardware%22+%22empirical%22&hl=en&as_sdt=2007,a novel low-cost open-hardware platform for monitoring soil water content and multiple soil-air-vegetation parameters,
102,"Alicia Gibb, Steven Abadie",Building Open Source Hardware: DIY Manufacturing for Hackers and Makers,2014.0,,,,,90,8/22/24 15:04,,,,,,,,,102,10.2,51,2,10.0,"Our website was released having a aspire to work as a total online digital library that provides usage of multitude of PDF file ebook assortment. You might find many kinds of e-publication as well as other literatures from our papers data bank. Distinct preferred subjects that distribute on our catalog are trending books, solution key, test test question and answer, manual example, exercise guideline, test sample, customer handbook, owner's guideline, assistance instructions, restoration guide, and so forth.",,,building open source hardware: diy manufacturing for hackers and makers,
78,"F Hahn, S Jensen, S Tanev",Disruptive innovation vs disruptive technology: The disruptive potential of the value propositions of 3D printing technology startups,2014.0,Technology innovation management …,timreview.ca,https://timreview.ca/sites/default/files/article_PDF/Hahn_et_al_TIMReview_December2014.pdf,https://scholar.google.com/scholar?cites=15199929508369929449&as_sdt=2005&sciodt=2007&hl=en,254,8/22/24 10:20,PDF,,,,,,,,78,7.8,26,3,10.0,… This article describes an empirical study focusing on the classification of existing business … its use; and whether there are any open source hardware or software products that could …,https://timreview.ca/sites/default/files/article_PDF/Hahn_et_al_TIMReview_December2014.pdf,https://scholar.google.com/scholar?q=related:6RRe7Vr_8NIJ:scholar.google.com/&scioq=%22open+source+hardware%22%7C%22open+source+hardware%22%7C%22open+hardware%22+%22empirical%22&hl=en&as_sdt=2007,disruptive innovation vs disruptive technology: the disruptive potential of the value propositions of 3d printing technology startups,
72,"Asit K. Mishra, R. Barik, S. Paul",iACT: A Software-Hardware Framework for Understanding the Scope of Approximate Computing,2014.0,,,,,487,8/22/24 15:04,,,,,,,,,72,7.2,24,3,10.0,"Approximate computing has recently emerged as a paradigm for enabling energy efficient software and hardware implementations by exploiting the inherent resiliency in applications to impreciseness in their underlying computations. Much of the previous work in this area has demonstrated the potential for significant energy and performance improvements, but these works largely consist of ad hoc techniques that are applied to a small number of similar applications. Mainstream adoption of approximate computing requires a deeper understanding of the inherent application resilience and the codesign hardware to go with the software. This dictates tools and methods that can help programmers reason about the scope and behavior of approximations in applications. To this end, this paper discusses an open source toolkit, called iACT (Intel’s Approximate Computing Toolkit) to analyze and study the scope of approximations in applications. Our toolkit consists of a compiler, runtime and a simulated hardware test bed. We discuss the design of this toolkit and present examples of how to use this toolkit in this paper. As an example on how to use this toolkit, we include two different applications and analyze the scope of approximate computing in these.",,,iact: a software-hardware framework for understanding the scope of approximate computing,
67,"Matthieu Lapeyre, Pierre Rouanet, Jonathan Grizou, S. N'Guyen, Fabien Depraetre, Alexandre Le Falher, Pierre-Yves Oudeyer","Poppy Project: Open-Source Fabrication of 3D Printed Humanoid Robot for Science, Education and Art",2014.0,,,,,327,8/22/24 15:04,,,,,,,,,67,6.7,10,7,10.0,"Poppyisthefirstcompleteopen-source3Dprintedhumanoid platform. Robust and accessible, it allows scientists, students, geeks, en- gineers or artists to explore fast and easily the fabrication and program- ming of various robotic morphologies. Both hardware and software are open-source, and a web platform allows interdisciplinary contributions, sharing and collaborations.",,,"poppy project: open-source fabrication of 3d printed humanoid robot for science, education and art",
67,"S Dickel, JP Ferdinand, U Petschow",Shared machine shops as real-life laboratories,2014.0,Journal of peer production,researchgate.net,https://www.researchgate.net/profile/Jan_Peter_Ferdinand/publication/268781801_Shared_Machine_Shops_as_Real-life_Laboratories/links/54759dec0cf29afed6128cea/Shared-Machine-Shops-as-Real-life-Laboratories.pdf,https://scholar.google.com/scholar?cites=10698284053504458302&as_sdt=2005&sciodt=2007&hl=en,437,8/22/24 10:20,PDF,,,,,,,,67,6.7,22,3,10.0,"… shops: low-cost-prosthesis and open hardware 3D printers. We will show that shared … Rather than making strong empirical accounts, this analysis illustrates how the notion of real…",https://www.researchgate.net/profile/Jan_Peter_Ferdinand/publication/268781801_Shared_Machine_Shops_as_Real-life_Laboratories/links/54759dec0cf29afed6128cea/Shared-Machine-Shops-as-Real-life-Laboratories.pdf,https://scholar.google.com/scholar?q=related:Pv5bK6rwd5QJ:scholar.google.com/&scioq=%22open+source+hardware%22%7C%22open+source+hardware%22%7C%22open+hardware%22+%22empirical%22&hl=en&as_sdt=2007,shared machine shops as real-life laboratories,
61,"A Bonarini, M Matteucci, M Migliavacca, ...",R2P: An open source hardware and software modular approach to robot prototyping,2014.0,Robotics and Autonomous …,Elsevier,https://www.sciencedirect.com/science/article/pii/S092188901300153X,https://scholar.google.com/scholar?cites=17837932194987426211&as_sdt=2005&sciodt=2007&hl=en,50,8/22/24 10:20,HTML,,,,,,,,61,6.1,15,4,10.0,"… Open source hardware started to gain interest also as a business model, where earnings come from services and from selling ready to use products while being open source gives …",https://www.sciencedirect.com/science/article/pii/S092188901300153X,https://scholar.google.com/scholar?q=related:o8G6adIQjfcJ:scholar.google.com/&scioq=%22open+source+hardware%22%7C%22open+source+hardware%22%7C%22open+hardware%22+%22empirical%22&hl=en&as_sdt=2007,r2p: an open source hardware and software modular approach to robot prototyping,
