cites,authors,title,year,source,publisher,articleurl,citesurl,gsrank,querydate,type,doi,issn,citationurl,volume,issue,startpage,endpage,ecc,citesperyear,citesperauthor,authorcount,age,abstract,fulltexturl,relatedurl,title_clean,doi_clean
454,"P. Kazanzides, Zihan Chen, A. Deguet, G. Fischer, R. Taylor, S. DiMaio",An open-source research kit for the da Vinci® Surgical System,2014.0,,,,,296,8/22/24 15:04,,10.1109/ICRA.2014.6907809,,,,,,,454,45.4,76,6,10.0,"We present a telerobotics research platform that provides complete access to all levels of control via open-source electronics and software. The electronics employs an FPGA to enable a centralized computation and distributed I/O architecture in which all control computations are implemented in a familiar development environment (Linux PC) and low-latency I/O is performed over an IEEE-1394a (FireWire) bus at speeds up to 400 Mbits/sec. The mechanical components are obtained from retired first-generation da Vinci ® Surgical Systems. This system is currently installed at 11 research institutions, with additional installations underway, thereby creating a research community around a common open-source hardware and software platform.",,,an open-source research kit for the da vinci® surgical system,10.1109/icra.2014.6907809
390,P. Kazanzidesf,An open-source research kit for the da Vinci® Surgical System,2014.0,Proceedings - IEEE International Conference on Robotics and Automation,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84929190495&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84929190495&origin=inward,3,8/22/24 16:58,Conference Paper,10.1109/ICRA.2014.6907809,1050-4729,https://api.elsevier.com/content/abstract/scopus_id/84929190495,,,6434.0,6439.0,390,39.0,390,1,10.0,,,,an open-source research kit for the da vinci® surgical system,10.1109/icra.2014.6907809
239,"C. O'Flynn, Z. Chen",ChipWhisperer: An Open-Source Platform for Hardware Embedded Security Research,2014.0,,,,,153,8/22/24 15:04,,10.1007/978-3-319-10175-0_17,,,,,,,239,23.9,120,2,10.0,,,,chipwhisperer: an open-source platform for hardware embedded security research,10.1007/978-3-319-10175-0_17
146,"Colin O’Flynn, Zhizhang Chen",ChipWhisperer: An Open-Source Platform for Hardware Embedded Security Research,2014.0,Lecture Notes in Computer Science,Springer International Publishing,http://dx.doi.org/10.1007/978-3-319-10175-0_17,,783,8/22/24 15:14,book-chapter,10.1007/978-3-319-10175-0_17,0302-9743,,,,243.0,260.0,146,14.6,73,2,10.0,,https://link.springer.com/content/pdf/10.1007/978-3-319-10175-0_17,,chipwhisperer: an open-source platform for hardware embedded security research,10.1007/978-3-319-10175-0_17
127,"G Bitella, R Rossi, R Bochicchio, M Perniola, M Amato",A novel low-cost open-hardware platform for monitoring soil water content and multiple soil-air-vegetation parameters,2014.0,Sensors,mdpi.com,https://www.mdpi.com/1424-8220/14/10/19639,https://scholar.google.com/scholar?cites=12597271216227092947&as_sdt=2005&sciodt=2007&hl=en,120,8/22/24 10:20,HTML,,,,,,,,127,12.7,25,5,10.0,"… The objective of this work was to design a low cost “open hardware” platform for multi-… Empirical calibration curves were subjected to cross-validation (leave-one-out method), and …",https://www.mdpi.com/1424-8220/14/10/19639,https://scholar.google.com/scholar?q=related:0wl4jm1_0q4J:scholar.google.com/&scioq=%22open+source+hardware%22%7C%22open+source+hardware%22%7C%22open+hardware%22+%22empirical%22&hl=en&as_sdt=2007,a novel low-cost open-hardware platform for monitoring soil water content and multiple soil-air-vegetation parameters,
83,"G. Bitella, R. Rossi, R. Bochicchio, M. Perniola, M. Amato",A Novel Low-Cost Open-Hardware Platform for Monitoring Soil Water Content and Multiple Soil-Air-Vegetation Parameters,2014.0,,,,,359,8/22/24 15:04,,10.3390/s141019639,,,,,,,83,8.3,17,5,10.0,"Monitoring soil water content at high spatio-temporal resolution and coupled to other sensor data is crucial for applications oriented towards water sustainability in agriculture, such as precision irrigation or phenotyping root traits for drought tolerance. The cost of instrumentation, however, limits measurement frequency and number of sensors. The objective of this work was to design a low cost “open hardware” platform for multi-sensor measurements including water content at different depths, air and soil temperatures. The system is based on an open-source ARDUINO microcontroller-board, programmed in a simple integrated development environment (IDE). Low cost high-frequency dielectric probes were used in the platform and lab tested on three non-saline soils (ECe1: 2.5 < 0.1 mS/cm). Empirical calibration curves were subjected to cross-validation (leave-one-out method), and normalized root mean square error (NRMSE) were respectively 0.09 for the overall model, 0.09 for the sandy soil, 0.07 for the clay loam and 0.08 for the sandy loam. The overall model (pooled soil data) fitted the data very well (R2 = 0.89) showing a high stability, being able to generate very similar RMSEs during training and validation (RMSEtraining = 2.63; RMSEvalidation = 2.61). Data recorded on the card were automatically sent to a remote server allowing repeated field-data quality checks. This work provides a framework for the replication and upgrading of a customized low cost platform, consistent with the open source approach whereby sharing information on equipment design and software facilitates the adoption and continuous improvement of existing technologies.",,,a novel low-cost open-hardware platform for monitoring soil water content and multiple soil-air-vegetation parameters,10.3390/s141019639
82,G. Bitella,A novel low-cost open-hardware platform for monitoring soil water content and multiple soil-air-vegetation parameters,2014.0,Sensors (Switzerland),,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84908537939&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84908537939&origin=inward,33,8/22/24 16:58,Article,10.3390/s141019639,1424-8220,https://api.elsevier.com/content/abstract/scopus_id/84908537939,14.0,10.0,19639.0,19659.0,82,8.2,82,1,10.0,,,,a novel low-cost open-hardware platform for monitoring soil water content and multiple soil-air-vegetation parameters,10.3390/s141019639
78,C.D. Kelley,An affordable open-source turbidimeter,2014.0,Sensors (Switzerland),,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84899150706&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84899150706&origin=inward,39,8/22/24 16:58,Article,10.3390/s140407142,1424-8220,https://api.elsevier.com/content/abstract/scopus_id/84899150706,14.0,4.0,7142.0,7155.0,78,7.8,78,1,10.0,,,,an affordable open-source turbidimeter,10.3390/s140407142
75,"Christopher D. Kelley, Alexander Krolick, Logan Brunner, Alison Burklund, Daniel Kahn, William P. Ball, Monroe Weber-Shirk",An Affordable Open-Source Turbidimeter,2014.0,Sensors,Mdpi Ag,,,26,8/22/24 16:58,Article,10.3390/s140407142,1424-8220,,14.0,4.0,7142.0,7155.0,75,7.5,11,7,10.0,"Turbidity is an internationally recognized criterion for assessing drinking water quality, because the colloidal particles in turbid water may harbor pathogens, chemically reduce oxidizing disinfectants, and hinder attempts to disinfect water with ultraviolet radiation. A turbidimeter is an electronic/optical instrument that assesses turbidity by measuring the scattering of light passing through a water sample containing such colloidal particles. Commercial turbidimeters cost hundreds or thousands of dollars, putting them beyond the reach of low-resource communities around the world. An affordable open-source turbidimeter based on a single light-to-frequency sensor was designed and constructed, and evaluated against a portable commercial turbidimeter. The final product, which builds on extensive published research, is intended to catalyze further developments in affordable water and sanitation monitoring.",,,an affordable open-source turbidimeter,10.3390/s140407142
71,"Giovanni Bitella, Roberta Rossi, Rocco Bochicchio, Michele Perniola, Mariana Amato",A Novel Low-Cost Open-Hardware Platform for Monitoring Soil Water Content and Multiple Soil-Air-Vegetation Parameters,2014.0,Sensors,Mdpi,,,29,8/22/24 16:58,Article,10.3390/s141019639,1424-8220,,14.0,10.0,19639.0,19659.0,71,7.1,14,5,10.0,"Monitoring soil water content at high spatio-temporal resolution and coupled to other sensor data is crucial for applications oriented towards water sustainability in agriculture, such as precision irrigation or phenotyping root traits for drought tolerance. The cost of instrumentation, however, limits measurement frequency and number of sensors. The objective of this work was to design a low cost. open hardware. platform for multi-sensor measurements including water content at different depths, air and soil temperatures. The system is based on an open-source ARDUINO microcontroller-board, programmed in a simple integrated development environment (IDE). Low cost high-frequency dielectric probes were used in the platform and lab tested on three non-saline soils (ECe1: 2.5 < 0.1 mS/cm). Empirical calibration curves were subjected to cross-validation (leave-one-out method), and normalized root mean square error (NRMSE) were respectively 0.09 for the overall model, 0.09 for the sandy soil, 0.07 for the clay loam and 0.08 for the sandy loam. The overall model (pooled soil data) fitted the data very well (R-2 = 0.89) showing a high stability, being able to generate very similar RMSEs during training and validation (RMSEtraining = 2.63; RMSEvalidation = 2.61). Data recorded on the card were automatically sent to a remote server allowing repeated field-data quality checks. This work provides a framework for the replication and upgrading of a customized low cost platform, consistent with the open source approach whereby sharing information on equipment design and software facilitates the adoption and continuous improvement of existing technologies.",,,a novel low-cost open-hardware platform for monitoring soil water content and multiple soil-air-vegetation parameters,10.3390/s141019639
