Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"","2nd International Conference on Computational Intelligence, Security and Internet of Things, ICCISIoT 2019",2020,"Communications in Computer and Information Science","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85082414117&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85082414117&origin=inward",20,"2024-08-22 16:59:55","Conference Review","","1865-0929","https://api.elsevier.com/content/abstract/scopus_id/85082414117",1192,,,,0,0.00,0,0,4,"","",""
0,"","Conference Proceedings - 2013 2nd National Conference on Information Assurance, NCIA 2013",2013,"Conference Proceedings - 2013 2nd National Conference on Information Assurance, NCIA 2013","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84912148767&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84912148767&origin=inward",23,"2024-08-22 16:59:55","Conference Review","","","https://api.elsevier.com/content/abstract/scopus_id/84912148767",,,,,0,0.00,0,0,11,"","",""
23,"A. Duley","A program differencing algorithm for verilog HDL",2010,"ASE'10 - Proceedings of the IEEE/ACM International Conference on Automated Software Engineering","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=78649764324&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=78649764324&origin=inward",4,"2024-08-22 16:59:55","Conference Paper","10.1145/1858996.1859093","","https://api.elsevier.com/content/abstract/scopus_id/78649764324",,,477,486,23,1.64,23,1,14,"","",""
0,"A. Ghani","OSPEN: an open source platform for emulating neuromorphic hardware",2023,"International Journal of Reconfigurable and Embedded Systems","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85146821361&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85146821361&origin=inward",18,"2024-08-22 16:59:55","Article","10.11591/ijres.v12.i1.pp1-8","2089-4864","https://api.elsevier.com/content/abstract/scopus_id/85146821361",12,1,1,8,0,0.00,0,1,1,"","",""
0,"A. Hollos","Improved measurement system for the evaluation of GNSS receivers for timing applications",2020,"I2MTC 2020 - International Instrumentation and Measurement Technology Conference, Proceedings","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85088305805&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85088305805&origin=inward",19,"2024-08-22 16:59:55","Conference Paper","10.1109/I2MTC43012.2020.9128492","","https://api.elsevier.com/content/abstract/scopus_id/85088305805",,,,,0,0.00,0,1,4,"","",""
1,"A.K. Behnert","Characterizing Circular and Open Business Models in a profit-driven environment through Business Model Patterns",2024,"Procedia Computer Science","","https://api.elsevier.com/content/article/eid/1-s2.0-S1877050924000437","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85189782198&origin=inward",13,"2024-08-22 16:59:55","Conference Paper","10.1016/j.procs.2024.01.043","1877-0509","https://api.elsevier.com/content/abstract/scopus_id/85189782198",232,,436,445,1,1.00,1,1,1,"","",""
0,"B. Ramos","Analysis of LoRa Signal Characteristics at Maize and Cocoa Crops in Tropical Regions",2023,"International Conference on Electromagnetics in Advanced Applications and IEEE-APS Topical Conference on Antennas and Propagation in Wireless Communications, ICEAA-APWC 2023","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85178996517&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85178996517&origin=inward",17,"2024-08-22 16:59:55","Conference Paper","10.1109/APWC57320.2023.10297457","","https://api.elsevier.com/content/abstract/scopus_id/85178996517",,,180,185,0,0.00,0,1,1,"","",""
14,"B.G.B. Kitchener","A low-cost bench-top research device for turbidity measurement by radially distributed illumination intensity sensing at multiple wavelengths",2019,"HardwareX","","https://api.elsevier.com/content/article/eid/1-s2.0-S2468067218300762","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85059849069&origin=inward",8,"2024-08-22 16:59:55","Article","10.1016/j.ohx.2019.e00052","2468-0672","https://api.elsevier.com/content/abstract/scopus_id/85059849069",5,,,,14,2.80,14,1,5,"","",""
20,"E.E. Cruz-Miguel","A new methodology for a retrofitted self-tuned controller with open-source fpga",2020,"Sensors (Switzerland)","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85094660186&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85094660186&origin=inward",6,"2024-08-22 16:59:55","Article","10.3390/s20216155","1424-8220","https://api.elsevier.com/content/abstract/scopus_id/85094660186",20,21,1,21,20,5.00,20,1,4,"","",""
4,"F. Kung","A Tutorial on Modelling and Control of Two-Wheeled Self-Balancing Robot with Stepper Motor",2019,"Applications of Modelling and Simulation","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85096788895&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85096788895&origin=inward",11,"2024-08-22 16:59:55","Article","","2600-8084","https://api.elsevier.com/content/abstract/scopus_id/85096788895",3,2,64,73,4,0.80,4,1,5,"","",""
