Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"A Alharbat, D Zwakenberg, H Esmaeeli, ...","Sarax: An Open-Source Software/Hardware Framework for Aerial Manipulators",2024,"… on Unmanned Aircraft …","ris.utwente.nl","https://ris.utwente.nl/ws/portalfiles/portal/398844554/ICUAS2024_Sarax.pdf","",299,"2024-08-22 10:20:32","PDF","","","",,,,,0,0.00,0,4,1,"… For this purpose, we introduce Sarax, an open-source hardware and software framework … Brazinskas, SD Prior, and JP Scanlan, “An empirical study of overlapping rotor interference …","https://ris.utwente.nl/ws/portalfiles/portal/398844554/ICUAS2024_Sarax.pdf","https://scholar.google.com/scholar?q=related:Fj_3_tMecfoJ:scholar.google.com/&scioq=%22open+source+hardware%22%7C%22open+source+hardware%22%7C%22open+hardware%22+%22empirical%22&hl=en&as_sdt=2007"
9,"A Amid, A Ou, K Asanović, YS Shao, ...","Vertically integrated computing labs using open-source hardware generators and cloud-hosted fpgas",2021,"2021 IEEE International …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9401515/","https://scholar.google.com/scholar?cites=13178577860447944610&as_sdt=2005&sciodt=2007&hl=en",59,"2024-08-22 10:20:32","","","","",,,,,9,3.00,2,5,3,"… -thread software model, modern computer architecture education requires a much more empirical approach, and relies upon a higher degree of empirical experience and simulation. …","https://ieeexplore.ieee.org/iel7/9401028/9401051/09401515.pdf","https://scholar.google.com/scholar?q=related:or_TsL2247YJ:scholar.google.com/&scioq=%22open+source+hardware%22%7C%22open+source+hardware%22%7C%22open+hardware%22+%22empirical%22&hl=en&as_sdt=2007"
11,"A Barišić, J Cambeiro, V Amaral, M Goulão, ...","Leveraging teenagers feedback in the development of a domain-specific language: the case of programming low-cost robots",2018,"Proceedings of the 33rd …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3167132.3167264","https://scholar.google.com/scholar?cites=2191373658669938875&as_sdt=2005&sciodt=2007&hl=en",477,"2024-08-22 10:20:32","","10.1145/3167132.3167264","","",,,,,11,1.83,2,5,6,"… We report on the design and results of the empirical studies used in this evaluation that … mBlock is a solution which compiles to the Arduino open source hardware platform, which makes …","https://dl.acm.org/doi/pdf/10.1145/3167132.3167264","https://scholar.google.com/scholar?q=related:u3grb7tSaR4J:scholar.google.com/&scioq=%22open+source+hardware%22%7C%22open+source+hardware%22%7C%22open+hardware%22+%22empirical%22&hl=en&as_sdt=2007"
61,"A Bonarini, M Matteucci, M Migliavacca, ...","R2P: An open source hardware and software modular approach to robot prototyping",2014,"Robotics and Autonomous …","Elsevier","https://www.sciencedirect.com/science/article/pii/S092188901300153X","https://scholar.google.com/scholar?cites=17837932194987426211&as_sdt=2005&sciodt=2007&hl=en",50,"2024-08-22 10:20:32","HTML","","","",,,,,61,6.10,15,4,10,"… Open source hardware started to gain interest also as a business model, where earnings come from services and from selling ready to use products while being open source gives …","https://www.sciencedirect.com/science/article/pii/S092188901300153X","https://scholar.google.com/scholar?q=related:o8G6adIQjfcJ:scholar.google.com/&scioq=%22open+source+hardware%22%7C%22open+source+hardware%22%7C%22open+hardware%22+%22empirical%22&hl=en&as_sdt=2007"
19,"A Boni, A López-Fogués, ...","Initiatives towards a participatory smart city. The role of digital grassroots innovations",2019,"Journal of global …","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/17449626.2019.1636115","https://scholar.google.com/scholar?cites=11981498765711738335&as_sdt=2005&sciodt=2007&hl=en",476,"2024-08-22 10:20:32","","10.1080/17449626.2019.1636115","","",,,,,19,3.80,6,3,5,"… They belong to 4 different types of digital innovation: Open Hardware: understood as … by scholars who, through observations and empirical work, have moved beyond technological …","https://riunet.upv.es/bitstream/handle/10251/158688/Boni%3BLopez-Fogues%3BFern%C3%A1ndez-Baldor%20-%20Initiatives%20towards%20a%20participatory%20smart%20city.%20The%20role%20of%20....pdf?sequence=3","https://scholar.google.com/scholar?q=related:34UHj6XVRqYJ:scholar.google.com/&scioq=%22open+source+hardware%22%7C%22open+source+hardware%22%7C%22open+hardware%22+%22empirical%22&hl=en&as_sdt=2007"
5,"A Chen, C Kuo, JS Blouin","A portable and low-cost solution for real-time manipulation of the vestibular sense",2022,"Journal of Neuroscience Methods","Elsevier","https://www.sciencedirect.com/science/article/pii/S0165027022002357","https://scholar.google.com/scholar?cites=13750749782364390665&as_sdt=2005&sciodt=2007&hl=en",498,"2024-08-22 10:20:32","HTML","","","",,,,,5,2.50,2,3,2,"… We provided a solution using open-source hardware to implement a real-time, physiology … -bipolar configuration based on previous empirical data from human experimentations (Chen …","https://www.sciencedirect.com/science/article/pii/S0165027022002357","https://scholar.google.com/scholar?q=related:CQUcjRJ61L4J:scholar.google.com/&scioq=%22open+source+hardware%22%7C%22open+source+hardware%22%7C%22open+hardware%22+%22empirical%22&hl=en&as_sdt=2007"
0,"A Corsín Jiménez","ECOLOGIES IN BETA: AN ANTHROPOLOGICAL EXPLORATION OF THE OPEN-SOURCING OF URBAN WORLDS",2015,"","digital.csic.es","https://digital.csic.es/handle/10261/116329","",356,"2024-08-22 10:20:32","","","","",,,,,0,0.00,0,1,9,"Cities worldwide are witnessing today a transformation of their material and infrastructural landscapes. In the name of ‘open technology’, ‘open hardware’ or, more amply, ‘open-source …","https://digital.csic.es/bitstream/10261/116329/1/memoria%20cientifica%20retos%20140922.pdf","https://scholar.google.com/scholar?q=related:SwpazXsEMpkJ:scholar.google.com/&scioq=%22open+source+hardware%22%7C%22open+source+hardware%22%7C%22open+hardware%22+%22empirical%22&hl=en&as_sdt=2007"
0,"A Dadkhah Tehrani, ...","Design, Manufacture, and Perform of First Electronic Seismic Sensor Dilatometer in Project of Tehran Metro line 6 as a Rapid Environmentally Friendly in-situ Test with …",2022,"Journal of Mining and …","jme.shahroodut.ac.ir","https://jme.shahroodut.ac.ir/article_2618.html","",424,"2024-08-22 10:20:32","","","","",,,,,0,0.00,0,2,2,"… based on the empirical relationships, so experience and increasing the number of tests play an essential role in interpreting the results. Figure 2 compares the amount of soil …","https://jme.shahroodut.ac.ir/article_2618_6c11180a57c519598b4d1667bf9f2723.pdf","https://scholar.google.com/scholar?q=related:knEj56fixEsJ:scholar.google.com/&scioq=%22open+source+hardware%22%7C%22open+source+hardware%22%7C%22open+hardware%22+%22empirical%22&hl=en&as_sdt=2007"
24,"A Delfanti, J Söderberg","Repurposing the hacker. Three cycles of recuperation in the evolution of hacking and capitalism",2018,"","escholarship.org","https://escholarship.org/uc/item/9c86493g","https://scholar.google.com/scholar?cites=13530650272530333213&as_sdt=2005&sciodt=2007&hl=en",383,"2024-08-22 10:20:32","","","","",,,,,24,4.00,12,2,6,"… Note to be taken, our proposition is not to produce an exact, empirical chronology over past … Industries that it would abandon open hardware? Collective representations of idealised …","https://escholarship.org/content/qt9c86493g/qt9c86493g_noSplash_a46edaba0a85504a5a7bf0b7e19409f0.pdf","https://scholar.google.com/scholar?q=related:HX42AryGxrsJ:scholar.google.com/&scioq=%22open+source+hardware%22%7C%22open+source+hardware%22%7C%22open+hardware%22+%22empirical%22&hl=en&as_sdt=2007"
29,"A Duley, C Spandikow, M Kim","A program differencing algorithm for verilog HDL",2010,"Proceedings of the 25th IEEE/ACM …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/1858996.1859093","https://scholar.google.com/scholar?cites=3194208495449624733&as_sdt=2005&sciodt=2007&hl=en",355,"2024-08-22 10:20:32","","10.1145/1858996.1859093","","",,,,,29,2.07,10,3,14,"… We evaluated Vdiff on two open source hardware design projects. The evaluation result shows that Vdiff is very accurate, with overall 96.8% precision and 97.3% recall when using …","https://dl.acm.org/doi/pdf/10.1145/1858996.1859093","https://scholar.google.com/scholar?q=related:nVDP9bMbVCwJ:scholar.google.com/&scioq=%22open+source+hardware%22%7C%22open+source+hardware%22%7C%22open+hardware%22+%22empirical%22&hl=en&as_sdt=2007"
